lon,lat,elev,mgal
-112.8426061,38.5099400,1687.8550000,-0.1200000
-112.8399343,38.4898966,1673.1650000,-0.1480000
-112.8397358,38.4923406,1673.3300000,-0.1230000
-112.8400248,38.4940334,1670.8040000,-0.1660000
-112.8396259,38.4961806,1674.8960000,-0.2230000
-112.8399289,38.4989663,1670.1980000,-0.1820000
-112.8397602,38.5011700,1670.6180000,-0.1730000
-112.8402974,38.5033568,1677.7780000,-0.1250000
-112.8398280,38.5056730,1671.2230000,-0.2090000
-112.8404112,38.5077226,1677.1830000,-0.1580000
-112.8405107,38.5098277,1678.5120000,-0.2300000
-112.8371488,38.4898618,1665.0120000,-0.0980000
-112.8373194,38.4919327,1665.8940000,-0.1950000
-112.8370145,38.4940335,1670.0900000,-0.2390000
-112.8364182,38.4967697,1663.6430000,-0.1570000
-112.8372999,38.4988941,1662.4550000,-0.1070000
-112.8372403,38.5012516,1660.1740000,-0.2390000
-112.8370026,38.5031894,1664.3590000,-0.2120000
-112.8369202,38.5055161,1668.6710000,-0.1870000
-112.8371121,38.5076914,1667.1120000,-0.1980000
-112.8371205,38.5099689,1661.4070000,-0.1120000
-112.8339943,38.4899434,1650.8710000,-0.1580000
-112.8340466,38.4919752,1651.9250000,-0.1630000
-112.8344919,38.4944838,1654.3140000,-0.1090000
-112.8342183,38.4967323,1652.8210000,-0.1800000
-112.8341855,38.4993640,1654.0810000,-0.1230000
-112.8344978,38.5008464,1654.3270000,-0.1950000
-112.8341211,38.5036121,1652.5410000,-0.2020000
-112.8344415,38.5056441,1653.3170000,-0.2290000
-112.8339170,38.5079133,1654.0570000,-0.0330000
-112.8341404,38.5098420,1653.1850000,-0.1350000
